"","ID","Bin","MWR","Vessel","Landing","Date","CommonName","SciName","Loc","Zone","Lat_DM","lat_dec","Long_DM","lon_dec","Depth_ft","Depth_m","FL","TL","WetWt","WtCalc","WC_males","WC_fem","Notes"
"58",73,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,336,380,382,381,404,""
"59",74,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,270,230,194,195,215,""
"60",75,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,280,240,217,218,239,""
"61",76,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,315,280,313,312,336,""
"62",79,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,287,260,235,235,257,""
"63",80,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,285,240,230,230,252,""
"64",81,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,251,180,155,156,175,""
"65",82,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,258,190,169,170,189,""
"66",83,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,292,260,248,248,270,""
"67",84,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3085",33.5718083,"118°08.4555",-118.14093,276,84.1,0,313,270,307,306,330,""
"68",85,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,312,340,304,303,327,""
"69",86,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,305,310,283,283,306,""
"70",87,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,326,390,348,347,371,""
"71",88,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,305,280,283,283,306,""
"72",89,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,329,340,358,357,381,""
"73",90,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,329,370,358,357,381,""
"74",91,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,327,350,352,350,374,""
"75",92,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,321,370,332,331,355,""
"76",94,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,336,420,382,381,404,""
"77",95,14,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,252,330,NA,333,324,""
"78",96,7,"CS Oct 15","Victory","Longbeach Sportfishing","7/18/22","Vermillion Rockfish","Sebastes miniatus","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,251,240,267,156,175,""
"79",97,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,276,220,208,209,229,""
"80",98,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,291,230,245,245,267,""
"81",99,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,305,280,283,283,306,""
"82",100,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,309,290,295,295,318,""
"83",101,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,411,770,713,705,723,""
"84",104,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,339,420,393,391,415,""
"85",105,7,"CS Oct 15","Victory","Longbeach Sportfishing","7/18/22","Vermillion Rockfish","Sebastes miniatus","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,285,390,386,NA,NA,""
"86",106,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,314,340,310,309,333,""
"87",107,16,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,434,920,844,833,846,""
"88",108,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,470,1300,1080,1064,1064,""
"89",109,10,"","Victory","Longbeach Sportfishing","7/18/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3417",33.5723617,"118°08.5873",-118.14312,276,84.1,0,441,970,887,875,885,""
"90",110,14,"MW Oct 15","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,282,530,0,467,455,""
"91",112,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,301,660,0,568,553,""
"92",113,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,255,320,0,345,336,""
"93",114,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,259,350,0,361,352,""
"94",115,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,326,730,0,721,704,""
"95",116,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,292,610,0,518,505,""
"96",117,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,309,590,0,614,599,""
"97",118,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,255,360,0,345,336,""
"98",119,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,273,450,0,423,412,""
"99",120,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,296,530,0,540,526,""
"100",121,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,280,430,0,457,445,""
"101",123,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,312,700,0,632,617,""
"102",124,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,307,590,0,602,587,""
"103",125,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,258,340,0,357,348,""
"104",126,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,287,530,0,492,479,""
"105",128,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,293,610,0,524,510,""
"106",129,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,276,530,0,437,426,""
"107",131,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,334,730,0,776,757,""
"108",133,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,298,640,0,551,537,""
"109",135,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,239,330,0,284,276,""
"110",136,14,"","Victory","Longbeach Sportfishing","7/18/22","California Scorpianfish","Scorpaena guttata","Los Angeles","150","33°35.6709",33.594515,"118°11.2476",-118.18746,159,48.5,0,270,430,0,410,399,""
"111",137,6,"RD Oct 15","Victory","Longbeach Sportfishing","7/18/22","Barred Sand Bass","Paralabrax nebulifer","Los Angeles","Horseshoe","33°39.4749",33.657915,"118°11.9841",-118.19974,159,48.5,0,397,760,841,0,0,""
"112",138,27,"RD Oct 15","Victory","Longbeach Sportfishing","7/19/22","White Croaker","Genyonemus lineatus","Los Angeles","LB bait Barge","33°43.5281",33.7254683,"118°08.4273",-118.14046,44,13.4,0,254,220,0,189,193,""
"113",139,10,"MW Oct 15","Victory","Longbeach Sportfishing","7/19/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3475",33.5724583,"118°08.5953",-118.14326,270,82.3,0,534,1660,1603,1572,1537,""
"114",140,10,"MW Oct 15","Victory","Longbeach Sportfishing","7/19/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3475",33.5724583,"118°08.5953",-118.14326,270,82.3,0,459,1030,1004,989,994,""
"115",141,10,"MW Oct 15","Victory","Longbeach Sportfishing","7/19/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3475",33.5724583,"118°08.5953",-118.14326,270,82.3,0,332,380,368,367,391,""
"116",142,10,"MW Oct 15","Victory","Longbeach Sportfishing","7/19/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3475",33.5724583,"118°08.5953",-118.14326,270,82.3,0,497,1370,1284,1262,1249,""
"117",143,10,"MW Oct 15","Victory","Longbeach Sportfishing","7/19/22","Bocaccio Rockfish","Sebastes paucispinis","Los Angeles","South East Bank","33°34.3475",33.5724583,"118°08.5953",-118.14326,270,82.3,0,433,880,838,828,840,"raw data sheet shows  sample lost might want to check sample"
